Word;Part of speech;Translation;Frequency;Forms;Raw frequency;Number;Term;Term number;Term type;Auxiliary verb;Main word;Endings;Comment & logic
Text;Text;Text;Figure;Text;Figure;Text;Text;Figure;Text;Text;Text;Text;Text
;;;;;;;;;;;;;
aconsejar;Verb;to advise, to counsel;1828;aconsejo;;Singular;presente de indicativo;1;The Seven Simple Tenses;n/a;aconsejo;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejas;;Singular;presente de indicativo;1;The Seven Simple Tenses;n/a;aconsejas;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconseja;;Singular;presente de indicativo;1;The Seven Simple Tenses;n/a;aconseja;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejamos;;Plural;presente de indicativo;1;The Seven Simple Tenses;n/a;aconsejamos;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsej_is;;Plural;presente de indicativo;1;The Seven Simple Tenses;n/a;aconsej_is;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejan;;Plural;presente de indicativo;1;The Seven Simple Tenses;n/a;aconsejan;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;The Seven Simple Tenses;n/a;0;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejaba;;Singular;imperfecto de indicativo;2;The Seven Simple Tenses;n/a;aconsejaba;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejabas;;Singular;imperfecto de indicativo;2;The Seven Simple Tenses;n/a;aconsejabas;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejaba;;Singular;imperfecto de indicativo;2;The Seven Simple Tenses;n/a;aconsejaba;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsej_bamos;;Plural;imperfecto de indicativo;2;The Seven Simple Tenses;n/a;aconsej_bamos;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejabais;;Plural;imperfecto de indicativo;2;The Seven Simple Tenses;n/a;aconsejabais;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejaban;;Plural;imperfecto de indicativo;2;The Seven Simple Tenses;n/a;aconsejaban;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;The Seven Simple Tenses;n/a;0;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsej_;;Singular;pret_rito;3;The Seven Simple Tenses;n/a;aconsej_;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejaste;;Singular;pret_rito;3;The Seven Simple Tenses;n/a;aconsejaste;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsej_;;Singular;pret_rito;3;The Seven Simple Tenses;n/a;aconsej_;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejamos;;Plural;pret_rito;3;The Seven Simple Tenses;n/a;aconsejamos;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejasteis;;Plural;pret_rito;3;The Seven Simple Tenses;n/a;aconsejasteis;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejaron;;Plural;pret_rito;3;The Seven Simple Tenses;n/a;aconsejaron;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;The Seven Simple Tenses;n/a;0;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;The Seven Simple Tenses;n/a;0;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_;;Singular;futuro;4;The Seven Simple Tenses;n/a;aconsejar_;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_s;;Singular;futuro;4;The Seven Simple Tenses;n/a;aconsejar_s;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_;;Singular;futuro;4;The Seven Simple Tenses;n/a;aconsejar_;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejaremos;;Plural;futuro;4;The Seven Simple Tenses;n/a;aconsejaremos;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_is;;Plural;futuro;4;The Seven Simple Tenses;n/a;aconsejar_is;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_n;;Plural;futuro;4;The Seven Simple Tenses;n/a;aconsejar_n;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;The Seven Simple Tenses;n/a;0;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;The Seven Simple Tenses;n/a;0;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_a;;Singular;potencial simple;5;The Seven Simple Tenses;n/a;aconsejar_a;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_as;;Singular;potencial simple;5;The Seven Simple Tenses;n/a;aconsejar_as;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_a;;Singular;potencial simple;5;The Seven Simple Tenses;n/a;aconsejar_a;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_amos;;Plural;potencial simple;5;The Seven Simple Tenses;n/a;aconsejar_amos;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_ais;;Plural;potencial simple;5;The Seven Simple Tenses;n/a;aconsejar_ais;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejar_an;;Plural;potencial simple;5;The Seven Simple Tenses;n/a;aconsejar_an;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;The Seven Simple Tenses;n/a;0;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;The Seven Simple Tenses;n/a;0;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconseje;;Singular;presente de subjuntivo;6;The Seven Simple Tenses;n/a;aconseje;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejes;;Singular;presente de subjuntivo;6;The Seven Simple Tenses;n/a;aconsejes;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconseje;;Singular;presente de subjuntivo;6;The Seven Simple Tenses;n/a;aconseje;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejemos;;Plural;presente de subjuntivo;6;The Seven Simple Tenses;n/a;aconsejemos;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsej_is;;Plural;presente de subjuntivo;6;The Seven Simple Tenses;n/a;aconsej_is;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejen;;Plural;presente de subjuntivo;6;The Seven Simple Tenses;n/a;aconsejen;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;;;;;;;;;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejara;;Singular;imperfecto de subjuntivo;7;The Seven Simple Tenses;n/a;aconsejara;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejaras;;Singular;imperfecto de subjuntivo;7;The Seven Simple Tenses;n/a;aconsejaras;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejara;;Singular;imperfecto de subjuntivo;7;The Seven Simple Tenses;n/a;aconsejara;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsej_ramos;;Plural;imperfecto de subjuntivo;7;The Seven Simple Tenses;n/a;aconsej_ramos;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejarais;;Plural;imperfecto de subjuntivo;7;The Seven Simple Tenses;n/a;aconsejarais;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;aconsejaran;;Plural;imperfecto de subjuntivo;7;The Seven Simple Tenses;n/a;aconsejaran;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
aconsejar;Verb;to advise, to counsel;1828;OR;;;;;;;OR;"me, te, se, lo, le, la; melo, telo, selo, mele, tele, sele, mela, tela, sela";
